"id","book_title","author"
"2","Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling"
"3","Pride and Prejudice","Jane Austen"
"5","The Book Thief","Markus Zusak"
"6","Twilight (The Twilight Saga, #1)","Stephenie Meyer"
"8","J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings","J.R.R. Tolkien"
"9","The Chronicles of Narnia (The Chronicles of Narnia, #1-7)","C.S. Lewis"
"10","The Fault in Our Stars","John Green"
"12","The Giving Tree","Shel Silverstein"
"13","Gone with the Wind","Margaret Mitchell"
"14","Wuthering Heights","Emily Bront�"
"15","The Perks of Being a Wallflower","Stephen Chbosky"
"16","Jane Eyre","Charlotte Bront�"
"18","The Great Gatsby","F. Scott Fitzgerald"
"19","The Little Prince","Antoine de Saint-Exup�ry"
"20","The Da Vinci Code (Robert Langdon, #2)","Dan       Brown"
"21","Alice�s Adventures in Wonderland / Through the Looking-Glass","Lewis Carroll"
"22","Crime and Punishment","Fyodor Dostoevsky"
"23","Divergent (Divergent, #1)","Veronica Roth"
"24","Memoirs of a Geisha","Arthur Golden"
"25","Les Mis�rables","Victor Hugo"
"26","The Alchemist","Paulo Coelho"
"27","Lord of the Flies","William Golding"
"28","Romeo and Juliet","William Shakespeare"
"29","Anne of Green Gables (Anne of Green Gables, #1)","L.M. Montgomery"
"30","City of Bones (The Mortal Instruments, #1)","Cassandra Clare"
"31","The Hitchhiker�s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","Douglas Adams"
"32","The Help","Kathryn Stockett"
"33","Dracula","Bram Stoker"
"34","Ender�s Game (Ender's Saga, #1)","Orson Scott Card"
"35","Charlotte�s Web","E.B. White"
"36","Of Mice and Men","John Steinbeck"
"38","The Catcher in the Rye","J.D. Salinger"
"39","Brave New World","Aldous Huxley"
"40","One Hundred Years of Solitude","Gabriel Garc�a M�rquez"
"41","A Thousand Splendid Suns","Khaled Hosseini"
"42","The Time Traveler�s Wife","Audrey Niffenegger"
"43","The Princess Bride","William Goldman"
"44","The Secret Garden","Frances Hodgson Burnett"
"45","A Game of Thrones (A Song of Ice and Fire, #1)","George R.R. Martin"
"46","The Outsiders","S.E. Hinton"
"49","A Wrinkle in Time (Time Quintet, #1)","Madeleine L'Engle"
"50","The Odyssey","Homer"
"51","Frankenstein: The 1818 Text","Mary Wollstonecraft Shelley"
"52","Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling"
"53","The Kite Runner","Khaled Hosseini"
"54","Harry Potter and the Sorcerer�s Stone (Harry Potter, #1)","J.K. Rowling"
"55","The Giver (The Giver, #1)","Lois Lowry"
"56","The Handmaid�s Tale (The Handmaid's Tale, #1)","Margaret Atwood"
"57","The Lovely Bones","Alice Sebold"
"58","Where the Wild Things Are","Maurice Sendak"
"59","The Adventures of Huckleberry Finn","Mark Twain"
"60","Green Eggs and Ham","Dr. Seuss"
"61","Life of Pi","Yann Martel"
"62","A Tale of Two Cities","Charles Dickens"
"63","Lolita","Vladimir Nabokov"
"64","Dune (Dune #1)","Frank Herbert"
"65","Slaughterhouse-Five","Kurt Vonnegut Jr."
"66","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling"
"67","Water for Elephants","Sara Gruen"
"69","Matilda","Roald Dahl"
"70","The Stand","Stephen King"
"71","Catch-22","Joseph Heller"
"72","The Adventures of Sherlock Holmes (Sherlock Holmes, #3)","Arthur Conan Doyle"
"73","The Pillars of the Earth (Kingsbridge, #1)","Ken Follett"
"74","Watership Down (Watership Down, #1)","Richard  Adams"
"75","Rebecca","Daphne du Maurier"
"76","The Fellowship of the Ring (The Lord of the Rings, #1)","J.R.R. Tolkien"
"77","Great Expectations","Charles Dickens"
"78","Outlander (Outlander, #1)","Diana Gabaldon"
"79","The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson"
"80","The Color Purple","Alice Walker"
"81","One Flew Over the Cuckoo�s Nest","Ken Kesey"
"82","Anna Karenina","Leo Tolstoy"
"83","My Sister�s Keeper","Jodi Picoult"
"84","The Brothers Karamazov","Fyodor Dostoevsky"
"85","A Tree Grows in Brooklyn","Betty  Smith"
"87","The Road","Cormac McCarthy"
"88","And Then There Were None","Agatha Christie"
"89","To Kill a Mockingbird","Harper Lee"
"90","The Golden Compass (His Dark Materials, #1)","Philip Pullman"
"91","It","Stephen King"
"92","Vampire Academy (Vampire Academy, #1)","Richelle Mead"
