"id","game_title","year"
"1","Wii Sports","2006"
"2","Super Mario Bros.","1985"
"3","Mario Kart Wii","2008"
"4","Wii Sports Resort","2009"
"5","Pokemon Red/Pokemon Blue","1996"
"6","Tetris","1989"
"7","New Super Mario Bros.","2006"
"8","Wii Play","2006"
"9","New Super Mario Bros. Wii","2009"
"10","Duck Hunt","1984"
"11","Nintendogs","2005"
"12","Mario Kart DS","2005"
"13","Pokemon Gold/Pokemon Silver","1999"
"14","Wii Fit","2007"
"15","Wii Fit Plus","2009"
"16","Kinect Adventures!","2010"
"17","Grand Theft Auto V","2013"
"18","Grand Theft Auto: San Andreas","2004"
"19","Super Mario World","1990"
"20","Brain Age: Train Your Brain in Minutes a Day","2005"
"21","Pokemon Diamond/Pokemon Pearl","2006"
"22","Super Mario Land","1989"
"23","Super Mario Bros. 3","1988"
"25","Grand Theft Auto: Vice City","2002"
"26","Pokemon Ruby/Pokemon Sapphire","2002"
"27","Pokemon Black/Pokemon White","2010"
"28","Brain Age 2: More Training in Minutes a Day","2005"
"29","Gran Turismo 3: A-Spec","2001"
"30","Call of Duty: Modern Warfare 3","2011"
"31","Pok�mon Yellow: Special Pikachu Edition","1998"
"32","Call of Duty: Black Ops","2010"
"33","Pokemon X/Pokemon Y","2013"
"34","Call of Duty: Black Ops 3","2015"
"35","Call of Duty: Black Ops II","2012"
"37","Call of Duty: Modern Warfare 2","2009"
"39","Grand Theft Auto III","2001"
"40","Super Smash Bros. Brawl","2008"
"42","Animal Crossing: Wild World","2005"
"43","Mario Kart 7","2011"
"44","Halo 3","2007"
"45","Grand Theft Auto V","2014"
"46","Pokemon HeartGold/Pokemon SoulSilver","2009"
"47","Super Mario 64","1996"
"48","Gran Turismo 4","2004"
"49","Super Mario Galaxy","2007"
"50","Pokemon Omega Ruby/Pokemon Alpha Sapphire","2014"
"51","Super Mario Land 2: 6 Golden Coins","1992"
"52","Grand Theft Auto IV","2008"
"53","Gran Turismo","1997"
"54","Super Mario 3D Land","2011"
"55","Gran Turismo 5","2010"
"58","Super Mario All-Stars","1993"
"59","Pokemon FireRed/Pokemon LeafGreen","2004"
"60","Super Mario 64","2004"
"61","Just Dance 3","2011"
"62","Call of Duty: Ghosts","2013"
"63","Halo: Reach","2010"
"64","Mario Kart 64","1996"
"65","New Super Mario Bros. 2","2012"
"66","Halo 4","2012"
"67","Final Fantasy VII","1997"
"69","Just Dance 2","2010"
"70","Gran Turismo 2","1999"
"71","Call of Duty 4: Modern Warfare","2007"
"72","Donkey Kong Country","1994"
"74","Animal Crossing: New Leaf","2012"
"75","Mario Party DS","2007"
"76","The Elder Scrolls V: Skyrim","2011"
"77","Super Mario Kart","1992"
"78","FIFA 16","2015"
"79","Wii Party","2010"
"80","Halo 2","2004"
"81","Mario Party 8","2007"
"82","Pokemon Black 2/Pokemon White 2","2012"
"83","FIFA Soccer 13","2012"
"84","The Sims 3","2009"
"85","GoldenEye 007","1997"
"86","Mario & Sonic at the Olympic Games","2007"
"87","Final Fantasy X","2001"
"88","Final Fantasy VIII","1999"
"89","Pok�mon Platinum Version","2008"
"90","Pac-Man","1982"
"91","Grand Theft Auto: Liberty City Stories","2005"
"92","Super Mario Galaxy 2","2010"
"93","Star Wars Battlefront (2015)","2015"
"94","Call of Duty: Advanced Warfare","2014"
"95","The Legend of Zelda: Ocarina of Time","1998"
"96","Crash Bandicoot 2: Cortex Strikes Back","1997"
"97","Super Mario Bros. 2","1988"
"98","Super Smash Bros. for Wii U and 3DS","2014"
"99","Call of Duty: World at War","2008"
"100","Battlefield 3","2011"
"101","The Legend of Zelda: Twilight Princess","2006"
"103","Just Dance","2009"
"105","Need for Speed Underground","2003"
"106","Tekken 3","1998"
"107","Crash Bandicoot 3: Warped","1998"
"108","Super Smash Bros. Melee","2001"
"109","Mario Kart 8","2014"
"110","Fallout 4","2015"
"111","Mario Kart: Double Dash!!","2003"
"112","Just Dance 4","2012"
"113","FIFA 14","2013"
"114","Need for Speed Underground 2","2004"
"115","Medal of Honor: Frontline","2002"
"116","Uncharted 3: Drake's Deception","2011"
"117","Crash Bandicoot","1996"
"118","Zumba Fitness","2010"
"119","Gears of War 2","2008"
"120","Uncharted 2: Among Thieves","2009"
"16600","Minecraft","2009"
"122","FIFA 12","2011"
"123","Big Brain Academy","2005"
"124","Red Dead Redemption","2010"
"125","FIFA 15","2014"
"126","Donkey Kong Country Returns","2010"
"128","The Legend of Zelda","1986"
"129","Assassin's Creed III","2012"
"130","Halo: Combat Evolved","2001"
"131","Pok�mon Emerald Version","2004"
"132","Kingdom Hearts","2002"
"133","Pok�mon Crystal Version","2000"
"134","Halo 3: ODST","2009"
"136","Super Mario Sunshine","2002"
"137","Street Fighter II: The World Warrior","1992"
"138","World of Warcraft","2004"
"139","Driver","1999"
"140","Kinect Sports","2010"
"141","Gears of War 3","2011"
"142","Gears of War","2006"
"143","Metal Gear Solid 2: Sons of Liberty","2001"
"144","Sonic the Hedgehog 2","1992"
"145","Metal Gear Solid 4: Guns of the Patriots","2008"
"146","Metal Gear Solid","1998"
"147","The Last of Us","2013"
"148","Final Fantasy XII","2006"
"149","LittleBigPlanet","2008"
"150","Dragon Quest IX: Sentinels of the Starry Skies","2009"
"151","LEGO Star Wars: The Complete Saga","2007"
"152","Resident Evil 2","1998"
"153","Tekken 2","1996"
"154","Cooking Mama","2006"
"155","Destiny","2014"
"156","Tetris","1988"
"157","Assassin's Creed II","2009"
"158","Super Smash Bros.","1999"
"159","Assassin's Creed","2007"
"160","Batman: Arkham City","2011"
"161","Forza Motorsport 3","2009"
"162","Monster Hunter Freedom Unite","2008"
"163","Super Mario Advance","2001"
"164","Mario Kart: Super Circuit","2001"
"165","Super Mario World","2001"
"166","Pokemon Stadium","1999"
