"id","movie_title","year"
"0","The Shawshank Redemption","1994"
"1","The Godfather","1972"
"2","Ramayana: The Legend of Prince Rama","1993"
"3","The Chaos Class","1975"
"4","The Dark Knight","2008"
"5","Schindler's List","1993"
"6","The Lord of the Rings: The Return of the King","2003"
"7","12 Angry Men","1957"
"8","The Godfather Part II","1974"
"9","Mirror Game","2016"
"10","Daman","2022"
"11","Pulp Fiction","1994"
"12","Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc","2021"
"13","The Message","1976"
"14","Tosun Pasa","1976"
"15","The Chaos Class Failed the Class","1975"
"16","Fight Club","1999"
"17","The Lord of the Rings: The Fellowship of the Ring","2001"
"18","Inception","2010"
"19","Forrest Gump","1994"
"20","The Lord of the Rings: The Two Towers","2002"
"21","The Good, the Bad and the Ugly","1966"
"22","Jai Bhim","2021"
"23","Kill Bill: The Whole Bloody Affair","2006"
"24","777 Charlie","2022"
"25","Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc","2020"
"26","Manichithrathazhu","1993"
"27","#Home","2021"
"28","Balkan Spy","1984"
"29","Maratonci trce pocasni krug","1982"
"30","Süt Kardesler","1976"
"31","Spider-Man: Across the Spider-Verse","2023"
"32","Interstellar","2014"
"33","Goodfellas","1990"
"34","The Matrix","1999"
"35","One Flew Over the Cuckoo's Nest","1975"
"36","Star Wars: Episode V - The Empire Strikes Back","1980"
"37","Toma","2021"
"38","Rocketry: The Nambi Effect","2022"
"39","The Legend of Maula Jatt","2022"
"40","Soorarai Pottru","2020"
"41","Who's Singin' Over There?","1980"
"42","Pariyerum Perumal","2018"
"43","Saban, Son of Saban","1977"
"44","Peranbu","2018"
"45","Kibar Feyzo","1978"
"46","Zügürt Aga","1985"
"47","Neseli Günler","1978"
"48","The Chaos Class Is Waking Up","1977"
"49","Oppenheimer","2023"
"50","Se7en","1995"
"51","The Silence of the Lambs","1991"
"52","Saving Private Ryan","1998"
"53","Star Wars: Episode IV - A New Hope","1977"
"54","The Green Mile","1999"
"55","Spirited Away","2001"
"56","Terminator 2: Judgment Day","1991"
"57","City of God","2002"
"58","Life Is Beautiful","1997"
"59","It's a Wonderful Life","1946"
"60","Seven Samurai","1954"
"61","Harakiri","1962"
"62","The Kashmir Files","2022"
"63","Sita Ramam","2022"
"64","A Dog's Will","2000"
"65","Pretty Village, Pretty Flame","1996"
"66","Nayakan","1987"
"67","Anbe Sivam","2003"
"68","The Chaos Class Is on Vacation","1977"
"69","Gladiator","2000"
"70","The Departed","2006"
"71","Alien","1979"
"72","Parasite","2019"
